# This is a toy data for ChunkProportionsAndGMM code
IND1 IND2 IND3 IND4 IND5 IND6 IND7 IND8 IND9 IND10 IND11 IND12 IND13 IND14 IND15 IND16 IND17 IND18 IND19 IND20 IND21 IND22 IND23 IND24 IND25 IND26 IND27 IND28 IND29 IND30 IND31 IND32 IND33 IND34 IND35 IND36 IND37 IND38 IND39 IND40 IND41 IND42 IND43 IND44 IND45 IND46 IND47 IND48 IND49 IND50 IND51 IND52 IND53 IND54 IND55 IND56 IND57 IND58 IND59 IND60 IND61 IND62 IND63 IND64 IND65 IND66 IND67 IND68 IND69 IND70 IND71 IND72 IND73 IND74 IND75 IND76 IND77 IND78 IND79 IND80 IND81 IND82 IND83 IND84 IND85 IND86 IND87 IND88 IND89 IND90 IND91 IND92 IND93 IND94 IND95 IND96 IND97 IND98 IND99 IND100
IND11 33 31 28 28 27 27 28 27 28 26 0 30 26 29 27 34 26 28 23 27 23 24 28 33 28 31 27 25 32 25 28 25 33 27 25 29 30 29 23 31 29 28 32 24 28 27 31 28 30 30 25 20 27 24 29 25 27 25 31 22 29 27 26 27 27 26 27 26 30 30 22 30 27 26 21 28 31 26 24 24 24 29 19 20 25 20 20 24 26 29 28 26 24 25 23 23 23 24 24 22
IND12 32 27 31 23 32 34 28 27 23 27 29 0 33 26 30 27 26 33 35 29 31 29 32 32 32 33 29 26 26 27 23 33 37 26 35 32 31 29 28 31 30 32 31 29 27 28 28 29 24 29 27 24 29 29 30 29 24 23 24 24 25 29 34 24 28 22 32 27 27 27 33 29 23 26 30 31 28 23 22 21 27 31 25 23 25 24 24 23 20 24 24 24 25 24 24 29 26 25 19 23
IND13 22 17 16 21 18 18 17 16 16 25 19 21 0 18 23 21 20 20 18 14 19 17 19 20 19 17 20 18 22 15 16 19 21 18 17 17 19 16 20 15 20 18 18 23 19 21 17 17 21 18 17 16 17 16 19 21 20 20 17 22 23 16 18 19 18 18 16 20 19 17 18 18 20 19 17 20 17 19 19 20 18 20 22 23 19 17 17 17 16 17 14 22 20 18 18 20 20 18 17 17
IND14 33 31 36 34 33 31 36 31 31 28 34 33 34 0 39 34 28 32 36 36 42 34 38 38 34 35 34 33 32 32 37 39 31 33 38 36 37 32 33 36 37 34 37 32 34 32 34 34 30 35 30 32 37 29 38 37 32 32 38 29 34 36 35 34 34 35 35 37 31 32 37 42 33 30 33 36 38 29 32 26 32 25 37 30 29 31 28 34 29 29 30 33 34 26 33 28 34 31 30 34
IND15 26 30 27 20 29 26 25 22 20 23 24 25 29 28 0 28 24 30 26 27 27 28 31 27 27 28 25 42 23 22 30 25 22 30 32 26 25 26 26 25 25 25 25 24 29 24 24 33 28 28 23 22 28 22 24 22 27 27 22 21 24 24 18 23 21 30 24 26 22 25 23 27 22 24 23 23 25 24 25 20 29 25 22 20 23 20 19 23 22 22 23 23 22 23 19 25 21 20 20 22
IND16 29 27 29 29 31 23 31 28 24 27 31 24 28 27 26 0 25 28 33 25 25 32 31 33 27 28 30 24 31 38 25 26 26 28 34 25 28 28 25 26 29 28 26 28 29 28 29 31 22 27 23 25 30 26 27 24 29 29 25 22 24 28 25 30 30 32 26 27 24 22 30 27 30 22 23 23 22 25 22 22 24 22 23 20 22 22 26 23 24 23 20 24 24 21 25 27 23 20 26 21
IND17 16 12 19 15 20 18 17 20 19 16 16 18 19 12 21 16 0 17 15 16 19 16 16 16 14 14 16 16 19 19 18 15 15 13 13 13 17 15 17 22 14 17 17 18 15 20 17 18 19 12 16 21 15 19 14 12 16 22 18 15 13 12 16 17 12 15 19 20 13 18 17 17 16 16 16 16 17 17 18 16 18 20 15 16 16 15 20 16 15 20 19 15 20 20 17 17 14 18 16 18
IND18 23 20 29 22 26 24 23 24 25 24 30 29 22 24 30 22 22 0 24 28 20 30 27 25 29 25 20 20 24 26 28 25 23 30 21 24 23 22 32 22 30 21 22 21 26 20 23 19 22 22 24 19 18 20 21 25 19 22 19 28 22 20 21 24 22 20 26 20 21 22 22 22 24 24 22 22 26 21 21 24 20 25 21 23 23 22 19 20 20 20 24 22 19 21 22 23 22 22 24 20
IND19 32 32 44 34 34 38 36 36 32 34 31 36 33 38 31 40 37 38 0 42 39 38 43 33 38 44 35 30 41 34 34 37 35 36 42 33 32 37 35 36 39 40 31 36 43 32 29 36 34 33 26 30 36 31 34 42 36 33 34 31 40 30 33 35 31 36 34 35 31 31 36 30 31 30 32 36 34 31 37 29 32 29 32 34 29 34 33 26 28 29 30 26 32 28 36 34 30 31 33 29
IND20 29 25 26 30 31 26 31 29 26 22 25 30 22 29 27 25 26 30 34 0 34 31 30 24 29 30 28 25 27 21 29 26 23 29 27 27 29 25 31 23 30 26 27 30 29 27 28 30 23 25 25 31 24 26 30 27 28 23 22 28 26 29 29 28 29 30 28 24 30 29 23 25 36 25 28 24 28 20 25 25 20 30 26 23 22 20 24 26 22 27 19 27 23 23 27 25 20 24 22 20
IND21 34 38 35 31 38 42 42 41 33 27 28 38 35 40 36 31 30 33 44 42 0 30 38 36 38 43 29 32 36 37 36 36 31 39 38 38 39 39 29 28 36 36 37 40 38 31 35 35 29 37 35 34 36 34 30 35 34 33 40 33 33 32 37 39 29 30 36 29 34 33 30 28 30 36 30 42 33 31 36 33 31 37 31 30 32 28 29 35 32 33 30 32 34 31 30 39 32 29 29 29
IND22 20 23 27 23 31 22 21 21 23 20 21 29 20 23 24 31 20 27 24 25 21 0 24 23 23 25 23 24 23 24 24 27 21 26 23 31 24 19 25 26 28 27 23 26 22 26 24 22 26 23 29 24 23 22 20 24 26 18 26 25 25 28 30 24 21 27 25 22 30 27 24 24 24 25 24 28 27 25 24 20 24 23 20 22 19 20 21 20 22 25 18 23 21 19 24 21 24 20 22 20
IND23 33 26 27 34 32 27 31 34 25 27 29 37 28 28 30 33 24 33 32 28 30 27 0 28 31 30 28 26 32 30 31 26 32 33 30 31 28 31 31 32 29 25 34 30 28 26 29 26 33 29 25 28 27 27 24 29 29 23 29 25 26 28 26 27 29 24 26 27 31 28 27 27 28 28 27 32 27 24 25 23 29 26 27 27 24 23 28 26 26 27 25 26 28 22 24 25 27 24 28 25
IND24 31 22 29 23 28 24 24 26 21 27 29 35 27 29 23 29 22 24 25 24 24 24 28 0 27 33 28 23 30 27 31 31 26 26 28 22 24 29 25 24 30 29 25 28 32 22 23 21 26 22 25 27 26 23 21 22 26 22 22 20 22 23 26 28 23 23 22 21 23 23 30 26 20 24 24 26 27 25 19 23 20 24 25 23 23 24 23 24 21 18 22 23 26 25 23 23 21 24 19 21
IND25 36 32 30 28 32 32 32 28 25 27 28 33 24 30 31 33 25 30 34 26 35 27 36 30 0 35 30 27 28 34 31 40 31 28 38 27 32 34 29 29 28 30 32 31 31 28 28 37 30 29 29 29 28 30 30 26 32 27 27 23 25 36 34 27 26 29 28 23 28 26 29 29 30 29 26 25 28 31 26 29 26 27 31 23 24 25 25 29 30 27 26 24 25 24 27 29 27 24 27 25
IND26 32 33 28 29 33 28 30 30 26 25 28 34 25 30 28 29 24 35 37 31 34 31 30 37 29 0 38 28 33 29 27 30 25 29 30 29 34 31 25 27 28 31 33 31 25 28 29 31 30 34 27 27 25 25 28 27 27 22 25 22 33 25 27 23 25 25 30 33 24 27 30 31 27 29 28 29 29 28 29 24 27 25 21 21 22 25 25 29 23 27 23 24 26 23 22 29 26 31 29 27
IND27 34 24 22 23 21 24 30 26 22 25 21 22 25 23 28 27 23 24 27 23 22 19 28 24 27 34 0 20 29 24 24 28 23 23 31 23 22 23 23 21 25 19 21 20 24 25 23 21 27 21 24 25 27 21 24 25 20 20 24 22 26 23 24 25 29 27 27 27 28 24 21 21 29 24 19 26 25 27 21 18 20 19 22 23 18 25 20 21 19 22 22 18 20 17 20 23 19 25 20 25
IND28 23 21 18 17 20 19 20 18 16 23 24 21 19 24 38 20 20 18 17 19 18 18 17 19 20 19 19 0 18 25 21 20 17 24 22 19 21 26 19 18 16 23 16 17 19 17 24 20 18 17 17 18 18 20 23 21 16 18 22 25 20 17 20 22 19 19 15 14 19 20 23 18 15 17 21 17 21 17 17 18 17 21 19 15 23 15 23 17 19 17 19 17 20 17 25 22 18 19 17 18
IND29 27 30 30 28 29 30 33 28 23 28 32 31 34 29 30 34 26 27 32 31 28 27 34 29 29 32 36 24 0 32 31 25 30 30 36 31 26 31 27 33 31 34 36 28 32 30 33 32 30 31 25 22 29 22 29 24 27 26 29 32 28 27 27 27 28 26 24 26 31 23 29 27 26 25 25 27 28 22 24 26 26 26 27 29 26 24 27 26 25 28 30 25 30 26 25 27 31 23 27 22
IND30 28 22 28 22 26 23 33 31 23 24 23 25 17 28 27 33 24 25 26 22 27 27 26 25 29 28 25 26 29 0 23 27 30 26 23 25 28 26 25 25 25 28 26 28 27 26 29 31 26 30 27 20 23 23 24 29 24 27 25 29 23 24 28 24 23 25 30 25 27 24 26 21 24 24 29 22 23 23 25 19 22 23 25 18 22 26 21 18 24 27 23 22 22 24 19 24 25 26 21 26
IND31 24 28 20 22 25 28 22 24 26 24 21 20 21 28 27 26 24 31 27 27 24 23 28 32 29 21 22 22 24 23 0 27 28 23 29 25 27 28 25 25 22 29 25 29 27 31 26 26 31 27 21 23 25 22 21 20 23 21 25 19 21 28 21 25 26 19 23 21 23 27 27 23 25 25 21 23 22 25 27 20 25 23 28 20 22 23 25 27 24 22 22 26 23 21 21 25 22 23 23 27
IND32 32 31 37 28 36 34 31 28 26 28 32 35 29 34 26 29 26 29 31 29 30 32 33 35 40 33 37 26 30 30 34 0 32 27 33 38 32 34 30 30 26 28 28 28 27 31 29 33 26 28 35 26 27 26 23 33 25 27 29 27 28 35 32 30 26 24 28 31 26 27 24 31 25 24 31 28 29 28 27 26 27 26 24 24 22 28 24 24 27 27 32 25 29 24 28 26 30 25 28 22
IND33 25 21 27 26 20 19 23 24 18 21 28 29 24 23 22 21 18 26 28 20 21 21 28 22 21 18 22 22 24 29 26 27 0 23 26 21 23 21 21 25 24 24 20 24 27 27 22 20 18 21 17 19 19 24 24 23 21 20 26 22 19 21 19 18 22 20 18 22 20 22 19 22 21 18 24 18 20 20 19 21 22 21 15 19 19 19 24 19 20 19 17 20 19 18 18 22 21 17 22 16
IND34 25 26 23 27 25 22 28 20 27 20 23 23 21 25 31 25 18 28 24 22 27 28 26 27 20 24 22 24 24 27 23 24 24 0 30 26 28 23 26 20 27 22 25 23 24 22 24 29 24 25 20 25 19 28 21 19 23 21 25 23 21 20 25 24 24 20 22 26 23 26 20 22 22 22 25 19 18 24 22 24 21 19 17 24 17 21 19 22 20 17 24 21 21 20 21 25 20 25 18 21
IND35 35 30 30 28 30 31 36 33 32 27 30 35 26 34 35 41 25 30 42 32 38 30 29 35 38 38 36 24 35 28 35 33 34 31 0 33 33 30 28 35 28 37 33 39 38 39 36 30 28 32 30 29 32 25 31 26 29 32 28 27 32 33 36 30 33 36 32 28 34 27 32 35 25 26 30 29 28 29 30 28 27 28 26 30 25 23 29 30 27 24 19 29 25 27 27 33 27 26 28 27
IND36 25 29 26 27 29 26 22 28 20 21 27 33 22 27 27 24 20 28 28 26 26 33 27 23 28 28 27 25 29 28 26 32 26 29 27 0 34 30 26 29 29 23 27 34 26 32 34 30 31 26 26 24 24 27 29 21 26 26 26 26 24 25 28 25 23 27 26 20 24 20 24 24 20 26 26 24 28 21 23 23 24 22 25 27 22 21 23 21 24 23 20 26 21 22 24 23 23 22 21 23
IND37 32 26 30 22 28 27 29 23 22 27 30 30 22 26 26 27 23 23 24 29 26 25 25 27 25 28 26 25 21 28 29 25 30 27 27 30 0 27 23 28 34 29 29 35 32 26 26 31 22 26 27 24 21 22 28 24 25 24 23 25 26 27 28 27 28 30 26 27 23 22 26 27 23 23 22 24 28 22 25 17 22 22 20 21 23 21 22 25 22 20 21 22 25 27 20 27 26 22 19 24
IND38 29 26 27 26 27 31 25 28 22 23 25 26 22 23 29 26 23 24 29 26 23 20 31 30 27 27 22 27 24 30 28 27 23 21 30 30 27 0 27 25 32 31 28 28 28 22 26 29 28 26 30 26 27 25 24 24 30 23 22 28 23 27 24 24 23 27 24 24 28 25 24 32 23 23 29 25 26 21 31 20 24 23 24 24 26 28 29 19 23 23 24 25 22 25 22 24 25 26 22 25
IND39 21 17 24 20 24 20 26 25 19 22 20 21 19 22 23 21 19 24 24 26 19 23 21 21 21 18 21 19 23 21 22 21 19 21 28 23 22 24 0 19 26 23 24 25 22 27 28 24 20 28 22 21 21 20 23 28 21 23 23 23 23 28 24 24 21 24 21 22 27 20 21 24 22 21 22 24 24 17 21 19 21 18 20 20 18 18 18 20 20 21 20 18 20 19 19 22 21 19 23 21
IND40 30 32 25 25 20 21 26 25 25 22 30 27 26 29 30 24 27 25 28 21 21 31 27 20 25 21 25 24 30 24 23 26 26 22 33 29 28 28 25 0 26 26 30 28 32 28 27 34 31 26 29 24 19 22 25 30 21 20 26 27 32 24 24 32 22 24 23 22 22 21 25 30 22 21 24 27 27 24 19 25 23 27 23 21 23 17 22 22 28 22 22 24 25 23 19 22 23 23 24 20
IND41 24 20 22 23 25 28 19 27 19 24 24 26 22 25 23 25 21 24 24 23 26 25 25 25 23 27 19 19 28 29 21 24 26 26 21 28 28 28 25 25 0 28 26 30 26 31 31 26 20 30 28 23 21 25 23 23 19 23 21 20 20 24 24 23 25 21 21 21 26 27 27 26 23 25 28 25 25 22 21 19 18 22 21 23 21 19 27 19 20 22 19 25 26 25 23 24 26 20 20 17
IND42 27 25 29 19 22 18 26 23 23 22 28 28 20 23 23 27 19 25 27 26 27 27 21 29 28 21 23 20 29 27 31 22 29 21 33 23 25 31 25 24 29 0 24 29 26 28 30 37 28 28 23 21 28 21 21 22 19 24 29 21 23 27 22 19 24 22 20 27 26 23 21 24 26 24 19 28 19 28 21 20 19 19 26 21 25 18 22 26 22 23 21 20 23 23 26 25 21 18 18 17
IND43 28 27 30 23 30 29 28 29 25 27 27 34 24 30 25 27 25 24 25 24 31 25 34 30 26 34 24 22 36 29 26 25 27 28 29 27 31 28 30 36 27 33 0 29 32 29 29 29 30 39 30 30 24 28 20 20 21 28 26 26 30 27 30 26 27 23 25 26 26 27 31 23 29 24 30 26 27 29 24 24 29 29 25 26 22 25 26 25 27 24 25 27 31 23 30 27 26 21 23 23
IND44 27 34 29 27 22 28 27 20 22 31 24 28 29 25 26 27 24 24 26 28 30 30 29 29 27 29 23 20 30 30 29 26 28 29 33 35 34 31 28 26 31 35 27 0 34 33 31 33 33 29 28 21 26 24 31 25 27 23 23 24 23 29 27 32 27 30 26 31 22 26 22 24 22 27 29 23 25 27 26 22 27 22 23 21 21 30 21 25 29 25 20 26 25 25 22 23 27 24 26 24
IND45 24 23 29 27 31 27 35 28 27 24 35 26 30 25 32 29 23 28 36 30 30 25 31 31 27 28 24 26 29 27 31 24 32 29 35 25 32 29 25 32 32 31 38 37 0 27 32 36 31 31 27 28 23 22 28 23 25 22 24 26 25 32 26 26 33 31 27 21 28 23 30 32 26 29 29 27 28 25 23 24 23 26 27 25 23 25 24 24 26 30 26 23 27 22 24 27 25 23 30 25
IND46 23 24 19 18 22 23 24 27 22 19 23 27 23 19 26 26 24 24 21 25 23 25 22 21 24 23 23 18 22 27 31 28 26 23 30 23 25 18 27 27 30 29 27 26 21 0 40 31 22 28 25 19 23 23 18 25 28 23 18 23 24 26 29 25 24 20 25 21 17 19 23 26 21 22 27 21 21 20 22 24 21 23 17 21 17 19 20 22 22 20 22 23 21 20 19 20 20 22 19 20
IND47 27 24 22 22 28 23 28 22 22 25 21 23 20 24 26 22 22 21 19 23 22 21 22 23 28 23 20 25 25 26 24 28 22 29 29 32 26 25 26 25 30 30 24 25 28 39 0 32 25 30 28 24 23 23 25 21 18 24 25 26 20 26 20 24 23 25 24 22 25 23 19 27 22 24 24 22 21 21 17 20 22 21 15 23 20 23 23 23 19 25 20 22 22 22 24 23 22 24 24 19
IND48 21 26 24 24 24 28 28 26 24 20 24 27 23 29 31 31 23 18 27 20 26 21 20 20 35 28 23 24 28 26 23 25 27 31 25 30 26 28 30 29 31 35 22 30 32 35 34 0 24 32 32 29 22 20 26 21 19 24 21 23 23 22 26 23 21 23 25 22 21 19 26 22 22 24 22 24 21 25 20 21 20 23 21 19 20 22 19 19 19 23 19 19 20 19 21 24 18 21 24 22
IND49 26 23 27 20 23 29 26 23 23 26 27 23 24 22 30 23 23 18 22 18 18 24 22 22 26 25 23 20 24 21 30 22 19 20 25 29 19 27 22 30 21 30 30 29 24 24 27 28 0 31 24 23 26 24 28 19 18 23 22 19 23 17 26 24 25 23 21 22 17 23 22 24 19 21 27 24 22 18 21 22 21 23 26 22 24 21 19 18 21 21 19 25 23 19 18 18 24 20 16 20
IND50 30 25 26 23 22 22 26 24 28 25 25 26 22 27 28 26 17 24 21 24 27 27 29 25 26 28 22 21 29 32 26 28 23 24 29 27 27 24 30 26 31 30 34 27 28 27 33 38 31 0 25 20 25 25 29 26 25 24 20 26 24 21 23 28 27 26 26 25 21 21 27 26 23 31 20 26 21 23 21 23 25 25 21 23 20 22 26 22 21 22 23 24 22 23 29 26 23 23 24 23
IND51 25 22 19 25 23 28 25 29 19 21 25 22 19 20 23 21 18 21 20 23 23 26 23 27 26 23 23 19 21 28 22 22 19 23 22 25 23 28 23 23 27 22 27 24 27 24 26 32 27 24 0 27 19 28 26 30 29 20 22 18 29 30 24 26 31 25 24 19 23 18 27 29 26 23 31 31 22 23 16 20 22 25 20 20 25 18 20 23 20 18 23 24 23 21 21 19 21 17 18 19
IND52 23 18 17 18 17 18 22 18 18 20 15 21 22 20 20 21 20 17 21 25 20 19 17 22 21 24 22 14 17 17 21 22 21 23 16 17 20 23 21 23 20 19 24 13 23 20 23 23 20 19 24 0 27 28 32 30 30 23 25 22 27 24 27 22 20 26 17 34 30 25 21 22 22 24 25 23 23 22 21 20 17 16 19 18 16 15 19 14 17 23 15 22 20 16 17 24 27 23 17 17
IND53 25 19 20 22 20 23 20 18 17 20 25 22 17 22 23 24 17 16 22 21 20 22 17 20 22 17 26 17 21 18 25 18 16 18 20 21 21 24 21 20 16 22 18 23 19 21 20 21 24 21 19 27 0 33 25 21 26 25 33 17 29 28 34 20 22 17 21 29 21 21 20 26 23 23 20 21 25 25 24 17 25 18 25 21 18 23 19 19 21 19 20 18 15 19 19 23 30 21 19 18
IND54 26 17 20 29 18 18 16 14 15 16 19 22 18 14 14 16 17 19 18 21 19 18 17 16 22 15 15 19 14 16 15 12 18 22 14 18 18 17 15 17 21 19 20 20 17 21 16 16 20 16 20 23 30 0 26 17 37 15 24 26 23 18 25 21 20 24 25 40 32 26 16 16 24 23 20 16 23 20 17 22 18 16 15 15 17 13 16 17 17 20 19 18 21 15 18 18 19 19 14 17
IND55 25 18 19 18 20 17 24 23 17 21 23 23 20 20 17 20 18 18 20 23 17 17 16 23 19 19 21 21 21 20 19 20 17 21 24 22 24 21 21 23 20 22 18 22 21 16 23 24 23 23 20 29 25 29 0 31 23 16 30 32 22 29 24 31 25 28 22 25 29 23 23 20 27 24 26 28 28 19 17 17 23 19 17 23 16 14 16 16 20 22 21 22 17 18 19 20 22 15 16 17
IND56 22 19 17 17 24 19 19 23 15 23 18 24 28 25 19 21 17 25 27 21 21 19 24 17 22 22 24 22 20 21 19 21 25 17 20 18 23 19 28 25 20 20 18 25 21 22 20 21 19 24 30 33 21 22 31 0 21 20 24 29 26 35 22 28 29 40 32 20 26 22 31 26 25 25 24 27 20 20 25 16 17 17 21 18 18 21 20 20 17 18 18 16 17 18 22 20 19 19 20 18
IND57 22 19 25 18 18 18 21 19 21 21 20 20 24 20 21 21 13 18 23 20 18 21 19 26 23 19 15 14 22 17 19 16 16 22 21 20 22 22 18 18 17 18 17 20 18 22 20 17 15 24 22 28 27 40 25 20 0 20 25 16 23 23 26 26 24 27 21 36 27 20 24 26 25 19 24 22 24 21 21 22 17 20 20 20 16 22 17 19 23 19 21 19 22 18 20 21 23 16 16 17
IND58 17 16 14 21 18 17 19 15 14 18 16 15 17 16 21 15 21 14 15 13 15 12 16 18 13 15 15 16 18 18 15 15 17 16 18 21 18 17 17 11 16 16 18 19 14 18 22 18 18 17 21 20 24 20 14 16 19 0 25 17 19 17 19 16 16 15 15 23 19 18 19 16 18 17 19 15 23 17 19 22 17 18 21 18 16 18 16 18 15 18 22 15 18 17 14 19 18 18 18 21
IND59 20 24 18 25 18 19 19 20 17 21 21 19 19 20 20 20 20 16 23 17 25 23 18 21 22 20 23 22 19 22 21 19 17 19 22 18 20 21 22 23 19 23 20 18 21 16 23 17 19 16 28 24 35 29 33 24 26 27 0 23 28 23 37 18 22 21 24 29 26 16 18 15 21 18 20 25 23 29 23 19 30 22 19 20 20 19 23 21 18 20 20 24 20 17 24 25 23 19 19 22
IND60 18 17 21 17 9 13 23 17 13 15 14 16 13 16 17 15 16 20 15 19 14 17 16 11 12 15 19 20 22 19 11 15 19 17 14 15 15 19 20 19 16 14 17 14 16 17 17 18 15 18 15 16 17 24 27 20 16 14 19 0 20 15 18 23 25 19 20 18 26 16 31 17 33 25 24 17 20 19 13 17 14 13 15 18 16 14 16 15 15 16 15 16 15 15 16 21 18 12 17 22
IND61 21 17 19 23 20 20 18 24 20 18 20 18 27 18 20 22 15 22 29 18 19 22 22 15 16 24 22 16 19 17 19 22 19 22 23 21 20 20 18 27 17 20 21 21 23 19 18 19 18 20 29 23 30 25 21 24 27 19 31 22 0 24 24 26 31 25 24 24 24 20 23 24 22 24 25 23 19 20 17 20 19 19 18 15 17 19 17 20 17 25 19 20 18 18 18 17 20 17 17 20
IND62 22 23 26 23 25 22 22 29 19 20 23 23 19 25 22 23 16 21 22 26 21 24 23 23 25 19 21 25 22 20 25 28 25 20 28 21 27 27 27 23 25 24 19 23 27 21 22 22 19 22 27 26 28 22 29 34 22 21 24 23 26 0 24 31 27 21 24 24 30 23 30 27 28 25 34 24 27 22 19 24 20 18 21 21 19 19 21 15 20 18 21 21 20 21 21 23 21 20 21 21
IND63 26 20 22 27 23 24 23 29 24 24 22 27 21 25 16 21 19 21 25 26 19 25 24 24 26 23 26 21 22 22 21 26 23 22 26 23 20 20 24 19 20 22 23 24 24 28 20 26 25 25 23 24 33 30 24 18 26 23 36 23 25 23 0 21 21 20 28 26 21 21 25 21 24 24 24 24 25 26 27 18 19 21 22 18 22 15 22 23 23 21 20 26 20 18 21 30 26 22 23 22
IND64 27 15 16 20 23 22 21 20 19 17 20 16 17 20 16 18 17 21 19 22 20 17 18 25 18 16 18 17 15 20 19 19 19 17 17 21 21 17 18 26 21 16 21 22 22 20 17 18 19 22 23 22 18 19 27 28 24 16 16 23 25 28 19 0 26 23 28 20 26 19 37 20 29 22 19 29 21 18 21 20 20 16 19 13 16 19 22 15 16 15 16 13 21 20 16 20 20 21 16 15
